,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
0,,,model,count 1Q,taxes 1Q,1Q,founded,
1,Bolt,Transportation,B2B2C,1144,? 6.4M,? 178.4M,2013,http://bolt.eu
2,,& Logistics,,,,,,
3,Wise,FinTech,"B2B, C2C,",1338,? 5.2M,? 40.1K,2013,https://wise.com/
4,,,B2C,,,,,
5,Veriff,CyberTech,"B2B,",386,? 1.7M,? 13.1M,2015,www.veriff.com
6,,,B2B2C,,,,,
7,Starship Technologies,Transportation,-,237,? 1.1M,? 7.5M,2014,https://www.starship.xyz/
8,,& Logistics,,,,,,
9,Paxful,FinTech,"B2C,",70,? 991.5K,? 3.3M,2016,www.paxful.com
10,,,B2B2C,,,,,
11,Milrem Robotics,Transportation,"B2B, B2G",171,? 836.8K,? 2.8M,2013,www.milremrobotics.com
12,,& Logistics,,,,,,
13,Monese,FinTech,-,166,? 827.7K,? 130.3K,2015,https://www.monese.com/
14,Glia,Communication,"B2B,",112,? 707.3K,? 2.2M,2012,https://salemove.wistia.com/
15,,,B2B2C,,,,,medias/xgfd5sc2ut
16,Swappie,Consumer,B2C,519,? 643.6K,? 20.4M,2020,www.swappie.com
17,,products and,,,,,,
18,,services,,,,,,
19,Eurora Solutions,Business,"B2B, B2C",80,? 511.9K,? 486.1K,2018,www.eurora.com
20,,software & HR,,,,,,
21,Adcash,AdTech &,-,48,? 505.4K,? 7.8M,2011,https://adcash.com/
22,,Creative Tech,,,,,,
23,Scoro,Business,B2B,94,? 492.3K,? 3.3M,2013,https://www.scoro.com/
24,Name,Sector,Business,Employee,Employment,Turnover,Year,Webpage
25,,,model,count 1Q,taxes 1Q,1Q,founded,
26,GoWorkAbit,Business,-,368,? 485.7K,? 1.7M,2013,https://goworkabit.ee/
27,,software & HR,,,,,,
28,Comodule,CleanTech,"B2B, B2C,",125,? 471.7K,? 7.8M,2014,https://www.comodule.com/
29,,,B2B2C,,,,,
30,ONOFF APP OU,Communication,B2B2C,68,? 445.4K,? 2.4M,2014,https://www.onoffapp.com/
31,Testlio,Business,-,64,? 444.6K,? 1.2M,2012,http://testlio.com/
32,,software & HR,,,,,,
33,Sixfold,Transportation,B2B,61,? 433.1K,? 1.7M,2017,https://sixfold.com
34,,& Logistics,,,,,,
35,Katana MRP,Advanced,"B2B, B2C,",76,? 432.2K,? 1.3M,2017,https://katanamrp.com
36,,Manufacturing,B2B2C,,,,,
37,,& Industry,,,,,,
38,Linnworks,Business,B2B,95,? 403.3K,? 1.4M,2011,https://www.linnworks.com/
39,,software & HR,,,,,,
40,Xolo,FinTech,B2B,78,? 396.1K,? 1.4M,2015,https://www.xolo.io/
41,Change Invest,FinTech,B2C,67,? 361K,? 3.6M,2016,www.changeinvest.com
