,id,Startup,Sector,Business_Model,Employee_count,Employment_taxes,Turnover,Year_Founded,Website
0,1,Bolt,Transportation,B2B2C,1144,"6,400,000.00","178,400,000.00",2013,http://bolt.eu
1,3,Wise,FinTech,"B2B, C2C,",1338,"5,200,000.00","40,100.00",2013,https://wise.com/
2,5,Veriff,CyberTech,"B2B,",386,"1,700,000.00","13,100,000.00",2015,www.veriff.com
3,9,Paxful,FinTech,"B2C,",70,"991,500.00","3,300,000.00",2016,www.paxful.com
4,11,Milrem Robotics,Transportation,"B2B, B2G",171,"836,800.00","2,800,000.00",2013,www.milremrobotics.com
5,13,Monese,FinTech,-,166,"827,700.00","130,300.00",2015,https://www.monese.com/
6,14,Glia,Communication,"B2B,",112,"707,300.00","2,200,000.00",2012,https://salemove.wistia.com/
7,16,Swappie,Consumer,B2C,519,"643,600.00","20,400,000.00",2020,www.swappie.com
8,19,Eurora Solutions,Business,"B2B, B2C",80,"511,900.00","486,100.00",2018,www.eurora.com
9,21,Adcash,AdTech &,-,48,"505,400.00","7,800,000.00",2011,https://adcash.com/
10,23,Scoro,Business,B2B,94,"492,300.00","3,300,000.00",2013,https://www.scoro.com/
11,26,GoWorkAbit,Business,-,368,"485,700.00","1,700,000.00",2013,https://goworkabit.ee/
12,28,Comodule,CleanTech,"B2B, B2C,",125,"471,700.00","7,800,000.00",2014,https://www.comodule.com/
13,30,ONOFF APP OU,Communication,B2B2C,68,"445,400.00","2,400,000.00",2014,https://www.onoffapp.com/
14,31,Testlio,Business,-,64,"444,600.00","1,200,000.00",2012,http://testlio.com/
15,33,Sixfold,Transportation,B2B,61,"433,100.00","1,700,000.00",2017,https://sixfold.com
16,35,Katana MRP,Advanced,"B2B, B2C,",76,"432,200.00","1,300,000.00",2017,https://katanamrp.com
17,38,Linnworks,Business,B2B,95,"403,300.00","1,400,000.00",2011,https://www.linnworks.com/
18,40,Xolo,FinTech,B2B,78,"396,100.00","1,400,000.00",2015,https://www.xolo.io/
19,41,Change Invest,FinTech,B2C,67,"361,000.00","3,600,000.00",2016,www.changeinvest.com
20,42,Tuum,FinTech,B2B,60,"354,500.00","868,700.00",2019,https://tuumplatform.com/
21,43,Ampler Bikes,Transportation,B2C,115,"347,200.00","1,700,000.00",2014,www.amplerbikes.com
22,45,RangeForce,CyberTech,B2B,43,"330,500.00","925,200.00",2014,https://www.rangeforce.com/home
23,46,3Commas,FinTech,"B2B, B2C,",44,"302,400.00","8,500,000.00",2016,https://3commas.io/
24,48,Threod Systems,SpaceTech,-,57,"294,400.00","1,100,000.00",2012,https://threod.com/
25,49,EstateGuru,FinTech,"B2B, B2C,",53,"291,200.00",,2013,https://estateguru.co
26,51,CybExer Technologies,CyberTech,-,25,"266,800.00","1,000,000.00",2016,http://www.cybexer.com/
27,54,Single.Earth,CleanTech,B2B,53,"259,400.00","226,100.00",2019,www.single.earth
28,55,Brainbase,Business,B2B,26,"257,500.00","946,700.00",2016,https://www.brainbase.com/
29,57,Fractory,Advanced,"B2B, B2C",42,"256,100.00","1,900,000.00",2017,fractory.com
30,60,Klaus,Business,"B2B, B2C",36,"227,500.00","700,400.00",2018,www.klausapp.com
31,62,Topia,Business,-,32,"220,400.00","781,500.00",2014,https://www.topia.com/
32,64,eAgronom,AgTech &,B2B,36,"203,700.00","599,900.00",2016,http://eagronom.com/
33,66,Salv,FinTech,B2B,41,"194,000.00","273,900.00",2018,www.salv.com
34,67,OCCO,Business,B2B,46,"192,800.00","3,800,000.00",2016,occo.digital
35,69,Insly Ltd,FinTech,"B2B,",41,"191,600.00","1,000,000.00",2013,https://www.insly.com/en/
36,71,Pactum AI OU,Business,"B2B, B2C,",26,"186,900.00","285,700.00",2019,www.pactum.com
37,73,Silen,Advanced,-,39,"170,900.00","2,100,000.00",2018,https://silenspace.com/
38,76,Fiizy,FinTech,B2B2C,21,"163,700.00","2,600,000.00",2014,www.fiizy.com
39,77,Turnit,TravelTech,"B2B, B2G,",36,"154,200.00","1,100,000.00",2014,www.turnit.com
40,79,Roofit.solar,CleanTech,"B2B, B2C,",38,"153,800.00","765,000.00",2016,https://roofit.solar
41,81,CyberCube Analytics,CyberTech,B2B,19,"150,100.00","528,500.00",2019,www.cybcube.com
42,84,MCF,Communication,B2B,28,"149,600.00","75,400.00",2016,https://greenergydatacenters.com/
43,85,Multilogin,CyberTech,"B2B, B2C",21,"148,600.00","2,700,000.00",2015,http://multilogin.com
44,86,Auve,Transportation,"B2B,",32,"143,300.00","62,100.00",2017,auve.tech
